City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,papatowai,-46.5619,169.4708,5.14,73,2,5.53,NZ,1689956190
84,olonkinbyen,70.9221,-8.7187,5.13,79,100,2.14,SJ,1689956164
85,tangalle,6.024,80.7911,29.09,88,77,5.09,LK,1689956191
86,masina,-4.3836,15.3914,34.21,30,19,0.35,CD,1689956191
87,whitehorse,60.7161,-135.0538,17.83,71,75,1.54,CA,1689955467
88,carolina beach,34.0352,-77.8936,32.78,60,17,5.35,US,1689956191
89,castillos,-34.1667,-53.8333,22.23,68,48,5.3,UY,1689956025
90,college,64.8569,-147.8028,18.22,82,20,2.06,US,1689955968
91,shingu,33.7333,135.9833,23.17,91,0,1.72,JP,1689956192
92,dudinka,69.4058,86.1778,21.46,67,100,4.56,RU,1689956192
93,margaret river,-33.95,115.0667,12.09,73,1,2.33,AU,1689956192
94,isla vista,34.4133,-119.861,34.08,82,40,2.57,US,1689956192
95,edinburgh of the seven seas,-37.0676,-12.3116,11.81,63,81,8.88,SH,1689956192
96,avarua,-21.2078,-159.775,20.03,83,75,5.14,CK,1689956149
97,cidade velha,14.9167,-23.6167,31.26,62,40,4.12,CV,1689956193
98,myeik,12.4333,98.6,25.32,87,100,3.2,MM,1689956193
99,mili,6.0815,171.735,28.05,82,100,8.64,MH,1689956193
100,talnakh,69.4865,88.3972,21.23,65,95,4.27,RU,1689956193
101,ancud,-41.8697,-73.8203,10.25,89,99,9.43,CL,1689955978
102,esikhaleni,-28.871,31.8996,15.87,71,52,5.01,ZA,1689956193
103,ust-nera,64.5667,143.2,16.09,87,86,1.63,RU,1689955969
104,lhasa,29.65,91.1,16.12,55,28,1.68,CN,1689956194
105,south hedland,-20.4089,118.5983,18.96,34,0,4.12,AU,1689956194
106,nago,26.5881,127.9761,29.24,82,89,3.16,JP,1689956194
107,totness,5.8833,-56.3167,30.25,63,27,3.87,SR,1689956194
108,el colorado,-26.3081,-59.3729,31.25,37,57,6.92,AR,1689956194
109,pong,19.1493,100.2752,24.72,95,70,0.53,TH,1689956194
110,korla,41.7597,86.1469,33.59,21,94,5.26,CN,1689956194
111,ribeira grande,38.5167,-28.7,22.22,83,75,2.57,PT,1689956195
112,lihue,21.9789,-159.3672,26.77,81,75,6.69,US,1689956018
113,mbekenyera,-10.0,38.9833,24.96,46,100,2.24,TZ,1689956195
114,benguela,-12.5763,13.4055,22.55,67,53,2.97,AO,1689956195
115,rio grande,-32.035,-52.0986,24.06,82,30,6.85,BR,1689956195
116,seminole,28.7086,-81.2081,35.16,68,20,4.63,US,1689956195
117,opuwo,-18.0607,13.84,26.59,11,0,2.04,NA,1689956175
118,isafjordur,66.0755,-23.124,10.02,81,75,4.12,IS,1689956196
119,tromso,69.6496,18.957,16.32,77,75,6.17,NO,1689956196
120,mount gambier,-37.8333,140.7667,8.96,89,100,2.98,AU,1689956196
121,polyarnyy,69.1989,33.4478,9.61,81,97,8.18,RU,1689955992
122,san vicente de canete,-13.0751,-76.3835,21.05,71,27,2.99,PE,1689956196
123,beledweyne,4.7358,45.2036,29.97,49,100,10.23,SO,1689956196
124,mitu,1.1983,-70.1733,27.11,82,41,1.49,CO,1689956196
